N;Source KHz;d kHz;d_squre kHz
1;4.616;0.00616;0.0379456
2;4.616;0.00616;0.0379456
3;4.614;0.00416;0.0173056
4;4.61;0.00016;2.56e-05
5;4.612;0.00216;0.0046656
6;4.612;0.00216;0.0046656
7;4.612;0.00216;0.0046656
8;4.61;0.00016;2.56e-05
9;4.608;-0.00184;0.0033856
10;4.61;0.00016;2.56e-05
11;4.61;0.00016;2.56e-05
12;4.612;0.00216;0.0046656
13;4.61;0.00016;2.56e-05
14;4.61;0.00016;2.56e-05
15;4.61;0.00016;2.56e-05
16;4.612;0.00216;0.0046656
17;4.614;0.00416;0.0173056
18;4.612;0.00216;0.0046656
19;4.614;0.00416;0.0173056
20;4.612;0.00216;0.0046656
21;4.608;-0.00184;0.0033856
22;4.606;-0.00384;0.0147456
23;4.606;-0.00384;0.0147456
24;4.606;-0.00384;0.0147456
25;4.606;-0.00384;0.0147456
26;4.604;-0.00584;0.0341056
27;4.606;-0.00384;0.0147456
28;4.608;-0.00184;0.0033856
29;4.606;-0.00384;0.0147456
30;4.576;-0.03384;1.14515
31;4.578;-0.03184;1.01379
32;4.602;-0.00784;0.0614656
33;4.61;0.00016;2.56e-05
34;4.61;0.00016;2.56e-05
35;4.612;0.00216;0.0046656
36;4.612;0.00216;0.0046656
37;4.614;0.00416;0.0173056
38;4.614;0.00416;0.0173056
39;4.614;0.00416;0.0173056
40;4.612;0.00216;0.0046656
41;4.614;0.00416;0.0173056
42;4.614;0.00416;0.0173056
43;4.614;0.00416;0.0173056
44;4.614;0.00416;0.0173056
45;4.614;0.00416;0.0173056
46;4.614;0.00416;0.0173056
47;4.614;0.00416;0.0173056
48;4.614;0.00416;0.0173056
49;4.618;0.00816;0.0665856
50;4.616;0.00616;0.0379456
