N;Source KHz;d kHz;d_squre kHz
1;4616;4.79167;22.9601
2;4616;4.79167;22.9601
3;4614;2.79167;7.7934
4;4610;-1.20833;1.46007
5;4612;0.791667;0.626736
6;4612;0.791667;0.626736
7;4612;0.791667;0.626736
8;4610;-1.20833;1.46007
9;4608;-3.20833;10.2934
10;4610;-1.20833;1.46007
11;4610;-1.20833;1.46007
12;4612;0.791667;0.626736
13;4610;-1.20833;1.46007
14;4610;-1.20833;1.46007
15;4610;-1.20833;1.46007
16;4612;0.791667;0.626736
17;4614;2.79167;7.7934
18;4612;0.791667;0.626736
19;4614;2.79167;7.7934
20;4612;0.791667;0.626736
21;4608;-3.20833;10.2934
22;4606;-5.20833;27.1267
23;4606;-5.20833;27.1267
24;4606;-5.20833;27.1267
25;4606;-5.20833;27.1267
26;4604;-7.20833;51.9601
27;4606;-5.20833;27.1267
28;4608;-3.20833;10.2934
29;4606;-5.20833;27.1267
30;4602;-9.20833;84.7934
31;4610;-1.20833;1.46007
32;4610;-1.20833;1.46007
33;4612;0.791667;0.626736
34;4612;0.791667;0.626736
35;4614;2.79167;7.7934
36;4614;2.79167;7.7934
37;4614;2.79167;7.7934
38;4612;0.791667;0.626736
39;4614;2.79167;7.7934
40;4614;2.79167;7.7934
41;4614;2.79167;7.7934
42;4614;2.79167;7.7934
43;4614;2.79167;7.7934
44;4614;2.79167;7.7934
45;4614;2.79167;7.7934
46;4614;2.79167;7.7934
47;4618;6.79167;46.1267
48;4616;4.79167;22.9601
